06,11,13,14,16,27,34
10,11,12,17,23,30,36
01,05,08,09,20,30,37
05,07,22,29,30,32,36
03,08,10,15,18,23,37
04,13,14,15,17,27,33
07,19,23,33,34,35,36
02,15,19,20,22,31,36
11,13,19,25,29,36,37
11,13,14,18,19,23,31
02,12,18,20,25,28,30
04,05,13,16,22,23,35
11,12,18,19,23,26,31
01,02,04,19,21,26,28
13,26,27,29,30,34,37
01,03,09,12,25,26,35
12,15,17,22,30,34,35
08,18,20,29,30,33,34
06,08,16,18,19,34,37
03,05,18,25,28,35,37
03,06,09,11,19,30,36
09,13,15,18,22,24,30
01,04,06,14,16,19,31
02,14,15,20,28,30,34
06,08,19,20,27,32,37
03,20,29,32,33,34,35
03,04,10,13,15,18,22
15,20,21,22,23,26,34
03,05,07,10,17,18,35
17,20,26,28,29,33,35
09,12,17,19,26,32,34
04,10,15,17,29,32,36
02,06,13,15,16,20,33
07,11,12,16,18,33,34
15,16,17,22,29,32,37
07,08,13,22,24,29,30
13,19,20,28,33,34,35
01,13,16,17,18,25,30
04,11,14,18,23,25,29
07,14,17,28,33,35,36
03,12,16,17,27,30,34
10,11,18,21,22,29,34
02,11,13,18,23,24,36
02,09,26,31,33,35,36
06,14,23,25,27,28,34
03,07,10,18,19,28,36
04,06,08,18,20,27,35
01,02,11,12,16,25,28
02,03,09,13,14,35,37
08,12,16,17,22,28,34
05,11,12,19,29,32,36
10,17,18,19,20,24,25
02,04,09,11,14,25,37
04,09,13,18,26,28,36
04,06,09,11,14,28,30
01,11,13,28,29,30,34
07,09,13,14,22,26,29
05,07,10,19,30,32,33
04,08,12,25,27,32,34
04,13,17,19,20,26,29
11,14,17,18,21,25,31
04,17,22,27,29,31,34
03,17,19,27,28,32,35
01,10,12,19,22,25,37
21,24,25,27,30,33,36
09,22,25,28,33,34,37
01,02,08,14,17,21,34
05,08,11,24,30,32,36
03,06,10,16,26,29,31
07,12,15,16,18,25,36
03,15,17,22,26,27,28
01,05,10,17,20,27,37
01,04,10,13,15,19,37
05,07,17,22,25,26,28
01,09,14,24,28,36,37
03,05,09,11,17,33,37
10,14,22,26,27,32,33
01,05,06,09,16,26,31
04,19,25,26,30,32,36
08,14,19,22,29,31,37
09,10,12,15,16,28,36
01,03,04,05,06,29,31
05,07,08,13,23,26,33
01,02,12,17,21,22,33
01,02,04,07,12,14,31
17,18,24,30,31,32,35
05,09,14,18,27,32,34
06,08,12,20,21,24,29
18,20,24,26,27,30,33
05,08,15,18,25,27,36
02,16,19,20,22,33,36
07,09,12,22,28,29,32
05,13,14,20,21,25,31
07,10,12,15,23,31,37

03,14,17,21,22,32,35
12,14,18,21,23,29,37
03,06,07,15,25,29,31
03,13,16,18,19,20,35
09,10,13,15,26,34,37
08,13,15,23,24,31,35
04,06,17,20,22,24,26
01,04,06,09,13,22,31
02,11,20,23,25,36,37
02,05,14,15,17,19,36
01,10,13,14,16,25,27
10,13,19,21,26,30,36
08,11,13,18,24,30,31
06,08,11,13,16,20,32
02,05,09,19,25,32,37
04,07,09,15,22,24,31
01,02,22,24,26,31,37
03,17,19,21,24,32,34
06,11,21,24,28,33,37
05,07,08,32,33,34,36
03,05,07,08,11,19,34
02,03,09,16,27,32,36
01,06,08,13,16,30,33
03,12,15,16,25,29,37
07,08,11,13,14,26,30
05,06,08,14,15,25,29
01,04,05,13,27,31,35
07,08,13,17,30,32,36
03,07,13,16,19,24,30
07,11,24,27,29,34,35
02,13,19,22,32,35,37
05,06,09,23,27,28,30
02,04,07,08,10,20,29
07,11,12,14,19,21,33
07,14,19,27,31,35,36
09,15,17,18,22,25,31
01,05,08,15,18,26,36
08,17,21,26,27,29,31
02,08,10,21,24,26,35
05,17,20,21,31,34,35
02,15,22,25,28,33,37
02,07,12,15,21,23,30
02,21,26,27,32,33,34
07,21,24,29,32,36,37
03,05,08,13,26,30,37
01,07,09,12,15,29,32
04,22,25,27,28,30,33
11,15,16,17,18,27,29
01,05,08,26,28,32,36
06,13,14,16,19,30,32
15,21,22,23,27,28,37
05,10,17,18,19,22,32
01,03,06,09,26,29,31
04,13,16,21,32,34,37
08,10,14,15,23,25,26
05,06,21,22,26,31,32
03,05,07,11,15,17,25
10,11,12,17,29,34,37
14,17,20,25,32,33,36
05,10,13,24,29,30,35
07,11,12,17,19,20,26
02,12,17,24,28,30,32
06,11,14,27,30,32,35
03,06,16,22,31,34,35
11,13,26,27,31,33,37
01,02,06,08,30,31,33
02,09,14,20,22,34,35
05,06,12,19,25,30,35
01,07,09,11,29,31,32
01,09,21,23,30,35,36
09,15,18,26,28,32,37
04,05,11,13,24,32,34
03,11,14,21,26,29,34
10,13,17,18,22,28,37
04,05,13,18,23,27,32
08,09,10,15,16,30,31
04,08,12,13,23,32,37
03,08,16,21,25,36,37
03,10,16,18,19,34,35
14,20,22,29,31,33,34
04,11,12,21,23,27,36
01,02,18,21,26,29,37
13,15,16,24,30,31,37
16,18,19,21,29,30,35
19,21,25,26,28,30,31
01,02,05,16,18,21,29
03,10,16,17,24,32,36
04,08,13,16,25,30,32
02,06,08,12,19,20,29
07,09,12,17,20,26,29
04,05,09,14,18,30,35
04,17,22,28,30,31,35
07,15,19,20,21,33,36
03,04,10,17,20,22,33

04,12,13,15,21,28,37
02,03,05,08,16,20,34
01,02,05,20,26,29,32
06,10,22,23,27,32,33
07,14,15,22,27,30,31
01,04,06,15,20,22,26
10,23,27,32,33,35,37
03,06,19,21,23,26,27
01,06,11,13,18,24,27
01,06,08,10,18,21,32
03,07,13,22,30,32,37
09,19,22,32,35,36,37
04,12,14,24,29,34,35
03,07,15,18,26,30,31
08,11,15,22,26,28,30
02,03,05,08,19,22,37
04,08,25,26,27,31,32
08,14,24,25,32,34,36
03,08,15,22,24,29,35
01,05,09,10,14,15,29
06,07,10,17,25,33,36
06,11,14,17,23,31,37
13,15,18,19,23,27,32
